Page number (if paper obtained through Google Scholar search),Who analyzed (if paper useful)? (If there's a 6-digit number: Date of entering paper into database),Link,Paper Name,"Author Last Name, Year of Publication","Usefulness (See ""Usefulness"" filter legend for the values to fill in this column)",Species (& strain info),"Ploidy (Haploid, Diploid, Polyploid)",No. pops,No. gens,No. muts,"Envir (Medium, Nutrients, Temp)",Supp Info Provided?,Additional cmts,"Screen (See ""Screen legend"")","Paper ID (obtained through sorting ""Author, Year ""A-Z once all the papers have been logged into this sheet)"
,,https://academic-oup-com.uml.idm.oclc.org/bib/article/14/2/193/208254,Using Tablet for visual exploration of second-generation sequencing data,"Milne, 2013",4,N/A,,,,,,,"_ Introduced ""Tablet"" - a high-performance graphical viewer for visualization of 2nd-generation sequencing (2GS) assemblies and read mappings.",JB,307
,,https://www.microbiologyresearch.org/content/journal/micro/10.1099/mic.0.050658-0,Stock culture heterogeneity rather than new mutational variation complicates short-term cell physiology studies of Escherichia coli K-12 MG1655 in continuous culture,"Nahku, 2011",4,E. coli,haploid,3,20,,haploid,,"_ No data for individual populations, only for combined scores from all populations (Supplementary Table 1: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3352173/bin/supp_157.9.2604_mic050658_supplementary_tables_S1_and_S2.pdf)",JB,322
,,https://www-pnas-org.uml.idm.oclc.org/content/106/49/20830,Use of high throughput sequencing to observe genome dynamics at a single cell level,"Parkhomchuk, 2009",4,E. coli,,,,,,,No ALE,JB,340
,,https://www.ncbi.nlm.nih.gov/pubmed/3894006?dopt=Abstract&otool=icaumlib,The invertible P-DNA segment in the chromosome of Escherichia coli,"Plasterk, 1985",4,E. coli,haploid,,,,,,No ALE,JB,351
,,https://genomebiology.biomedcentral.com/articles/10.1186/gb-2010-11-10-r104,FusionSeq: a modular framework for finding gene fusions by analyzing paired-end RNA-sequencing data,"Sboner, 2010",4,N/A,,,,,,,_ Modular framework.,JB,402
,,https://academic-oup-com.uml.idm.oclc.org/bib/article/14/2/178/208453,Integrative Genomics Viewer (IGV): high-performance genomics data visualization and exploration,"Thorvaldsdóttir, 2013",4,N/A,,,,,,,"_ Introduced ""Integrative Genomics Viewer"" (IGV) - a high-performance viewer that efficiently handles large heterogeneous data sets, while providing a smooth and intuitive user experience at all levels of genome resolution.",JB,455
,,https://academic.oup.com/bioinformatics/article/25/21/2865/2112044/,Pindel: a pattern growth approach to detect break points of large deletions and medium sized insertions from paired-end short reads,"Ye, 2009",4,N/A,,,,,,,_ Pattern growth approach.,JB,505
,,https://academic.oup.com/bioinformatics/article/26/15/1895/188785/,SVDetect: a tool to identify genomic structural variations from paired-end and mate-pair sequencing data,"Zeitouni, 2010",4,N/A,,,,,,,_ Computational tool.,JB,509
5,,https://bmcsystbiol.biomedcentral.com/articles/10.1186/s12918-018-0653-z,Reframing gene essentiality in terms of adaptive flexibility,"Guzman, 2018",4,,,,,,,,,B6,171
4,,https://www.biorxiv.org/content/biorxiv/early/2019/02/28/262691.full-text.pdf,Effect of environment on the evolutionary trajectories and growth characteristics of antibioticresistant Escherichia coli mutants,"Hubbard, 2019",4,E. coli 10129,haploid,3,,,"Sub-inhibitory concentrations (4 µg/ml) of AMC in M9, ISO or LB broth. ",,,B6,197
4,,https://www.nature.com/articles/ismej201769,Experimental evolution and the dynamics of adaptation and genome evolution in microbial populations,"Lenski, 2017",4,E. coli,Haploid,> 12,> 60000,,,,,B6,262
1,,https://search-proquest-com.uml.idm.oclc.org/docview/2153755316/previewPDF/C036788C7244CDCPQ/1?accountid=14569,The Identification of Novel Aminoglycoside Adjuvants for the Eradication of Pseudomonas aeruginosa Biofilms,"Maiden, 2018",4,P. aeruginosa,,,,,,,,B6,287
5,,https://conservancy.umn.edu/bitstream/handle/11299/201140/McCurtain_umn_0130E_19666.pdf?sequence=1&isAllowed=y,Effects of deletion mutations in aguA on fitness and survival of Pseudomonas aeruginosa cystic fibrosis isolates,"McCurtain, 2018",4,P. aeruginosa,,,,,,,,B6,297
5,,https://academic.oup.com/nar/article/47/D1/D1164/5144149,ALEdb 1.0: a database of mutations from adaptive laboratory evolution experimentation,"Phaneuf, 2019",4,N/A (developed database),,,,,,,,B6,350
2,,https://www.biorxiv.org/content/10.1101/575134v3,Non-lethal oxidative stress boosts bacterial survival and evolvability under lethal exposure,"Rodriguez-Rojas, 2019",4,E. coli K-12 MG1655 ,,5,~ 50,,"LB, stressor: H2O2.",,,B6,383
4,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6370648/,NADH dehydrogenases in Pseudomonas aeruginosa growth and virulence,"Torres, 2019",4,P. aeruginosa,,,,,,,,B6,461
12,,https://mbio.asm.org/content/8/5/e01341-17.short,Associations among Antibiotic and Phage Resistance Phenotypes in Natural and Clinical Escherichia coli Isolates,"Allen, 2017",4,E. coli,haploid,94 isolates,,,lysogeny broth (LB) supplemented with 2 mM CaCl2 and 2 mM MgSO4,,,B2,6
1,,https://www.sciencedirect.com/science/article/pii/S0092867416306687,Sugar Synthesis from CO2 in Escherichia coli,"Antonovsky, 2016",4,,,,,,,,,B2,14
19,,https://researchspace.auckland.ac.nz/handle/2292/32019,"Small change? : adaptation and its costs, in experimental evolution","Ardern, 2016",4,S. cerevisiae,,,,,,,,B2,16
1,,https://bmcgenomics.biomedcentral.com/articles/10.1186/1471-2164-15-1039,Identifying structural variation in haploid microbial genomes from short-read resequencing data using breseq,"Barrick, 2014",4,N/A (Developed algorithm),,,,,,,,B2,32
7,,https://www.nature.com/articles/srep45089,Isolation and characterization of the E. coli membrane protein production strain Mutant56(DE3),"Baumgarten, 2017",4,E. coli,haploid,,,,,,,B2,35
6,,https://mra.asm.org/content/3/4/e00879-15.short,Complete Genome Sequence of Escherichia coli NCM3722,"Brown, 2015",4,E. coli,haploid,,,,,,,B2,58
25,,https://tel.archives-ouvertes.fr/tel-01686310/,Dynamiques théorique et expérimentale des taux de mutations,"Caudwell, 2018",4,-,,,,,,,,B2,67
21,,https://www.biorxiv.org/content/10.1101/460451v1.abstract,Modulation of rpoS fitness by loss of cpdA activity during stationary-phase in Escherichia coli,"Chib, 2018",4,E. coli,,,,,,,"_ Incorrect framework.
_ 191108: Screened.",B2,77
24,,https://www.db-thueringen.de/servlets/MCRFileNodeServlet/dbt_derivate_00036059/Glen_Dsouza_PhD_thesis.pdf,The evolution of metabolic dependency in bacteria,"D'Souza, 2016",4,-,,,,,,,,B2,93
20,,https://evoevo.liris.cnrs.fr/download/4_-_deliverables/wp1/D1.4_V1.6.pdf,Analysis of phenotypic innovation (part 1),"Elena, 2016",4,E. coli and TEV,,,,,,,,B2,128
21,,https://www-jove-com.uml.idm.oclc.org/pdf/57386/jove-protocol-57386-testing-role-multicopy-plasmids-evolution-antibiotic,Testing the role of multicopy plasmids in the evolution of antibiotic resistance,"Escudero, 2018",4,E. coli,,,,,,,"""...the data used for this
example is not real"".",B2,132
11,,https://mro.massey.ac.nz/handle/10179/7395,"Understanding bacterial adaptation to aerobic and anaerobic environments through experimental evolution and whole genome analysis : a thesis presented in fulfilment of the requirements for the degree of Doctor of Philosophy in Genetics at Massey University, Palmerston North, New Zealand","Finn, 2014",4,E. coli,haploid,"3 (aerobic, anaerobic, fluctuating)",4000,"89 SNPS, 53 Inserts, 113 Dels, 333 IS elements. (Further breakdown of categories provided on p.93). 107 aerobic, 227 anaerobic, 254 fluctating.",,,"_ PhD thesis.
_ 191108: Screened.",B2,137
2,,https://academic.oup.com/cid/article/65/1/110/3052769,Ceftolozane-Tazobactam for the Treatment of Multidrug-Resistant Pseudomonas aeruginosa Infections: Clinical Effectiveness and Evolution of Resistance,"Haidar, 2017",4,P. aeruginosa,,,,,,,,B2,174
1,,https://www.sciencedirect.com/science/article/pii/S1096717615000105,Multiplex Metabolic Pathway Engineering using CRISP/Cas9 in Saccharomyces ceriviseae,"Jakočiūnas, 2015",4,S. cerevisiae,,,,,,,,B2,202
12,,https://www.researchgate.net/profile/Pil_Kim3/publication/308366328_Procedure_for_Adaptive_Laboratory_Evolution_of_Microorganisms_Using_a_Chemostat/links/57e22e1608aed96fbbb087c6.pdf,Procedure for Adaptive Laboratory Evolution of Microorganisms Using a Chemostat,"Jeong, 2016",4,E. coli,,,,,,,Protocol.,B2,206
13,,https://www.frontiersin.org/articles/10.3389/fmicb.2017.00585/full,Unveiling the Hybrid Genome Structure of Escherichia coli RR1 (HB101 RecA+),"Jeong, 2017",4,E. coli,haploid,,,,,,Sequencing an E. coli strain.,B2,207
13,,https://academic.oup.com/mbe/article/35/1/180/4563780,Recombination Alters the Dynamics of Adaptation on Standing Variation in Laboratory Yeast Populations,"Kosheleva, 2017",4,S. cerevisiae,haploid and diploid,36 haploid and 36 diploid,"12 pop at sexual crossing 120 gen, 12 pop at sexual crossing 40gen, 12 pop asexual.",,,,,B2,236
25,,https://tel.archives-ouvertes.fr/tel-01599361/,Study of the emergence of the diversity of Escherichia coli in vivo by whole genome sequencing,"Launay, 2017",4,E. coli,haploid,,,,,,,B2,254
16,,https://www.biorxiv.org/content/10.1101/249110v1.abstract,An evolutionary innovation is contingent on maintaining adaptive potential until competition subsides,"Leon, 2018",4,E. coli,haploid,61 evolved strains. The strains were a mixed bag from different time points in LTEE populations. 20 new LTEE clones were also sequenced.,,,,Table S1: Genome sequencing of E. coli isolates from the LTEE population.,,B2,263
6,,https://www.sciencedirect.com/science/article/pii/S0168165616302528,"Complete genome sequence of Lactobacillus plantarum LZ95, a potential probiotic strain producing bacteriocins and B-group vitamin riboflavin","Li, 2016",4,Lactobacillus plantarum,,,,,,,,B2,271
6,,https://microbialcellfactories.biomedcentral.com/articles/10.1186/s12934-017-0819-1,Generation of a platform strain for ionic liquid tolerance using adaptive laboratory evolution,"Mohamed, 2017",4,E. coli,haploid,2 strains x 2 envirs x 4 reps,40 days,,,,"_ Incorrect framework (cherry-picked isolates).
_ 191108: Screened.",B2,311
4,,https://onlinelibrary.wiley.com/doi/abs/10.1002/bit.25844,Engineering of high yield production of L‐serine in Escherichia coli,"Mundhada, 2015",4,E. coli,haploid,,,,,,,B2,318
2,,https://www.pnas.org/content/early/2015/05/06/1410631112.short,A tortoise–hare pattern seen in adapting structured and unstructured populations suggests a rugged fitness landscape in bacteria,"Nahum, 2015",4,E. coli,haploid,"5 grown in restrictive conditions [what], 5 unrestricted.",,,"200 μL of lysogeny broth (LB–Miller) supplemented with a subinhibitory concentration of tetracycline (0.25 μg/mL). Between transfers, plates were incubated (37 °C) and shaken","Table S1 lists populations and what mutation was recieved in a discriptive manner. (ie, not a table with frequencies, 1/0s, etc)","_ Incorrect framework.
_ 191108: Screened.",B2,323
11,,https://dl.acm.org/citation.cfm?id=2660810,Genome dynamics in coevolved genomes: database management system for tracing mutations,"Nareddy, 2014",4,N/A,,,,,,,,B2,324
18,,https://www.research-collection.ethz.ch/bitstream/handle/20.500.11850/199414/Abstract_24551.pdf?sequence=6,Tools for genome-level recoding of in vivo and in vitro production systems,"Oesterle, 2017",4,N/A (developed database),,,,,,,Computational work (Database management system).,B2,328
1,,http://science.sciencemag.org/content/353/6301/819,"Design, synthesis, and testing toward a 57-codon genome","Ostrov, 2016",4,E. coli,,,,,,,,B2,333
13,,https://www.biorxiv.org/node/20760.abstract,Long-term monitoring of inflammation in the mammalian gut using programmable commensal bacteria,"Riglar, 2016",4,E. coli,haploid,,,,,,,B2,380
2,,https://www.nature.com/articles/nbt.3879,Engineered bacteria can function in the mammalian gut long-term as live diagnostics of inflammation,"Riglar, 2017",4,E. coli or S. typhimurium,haploid,5 (5 mice colonized),1600 (unsure if this total for 5 mice or individual for 1 mouse.),,Mouse gut,"Links to sequence reads,",,B2,381
8,,https://www.nature.com/articles/ismej201718,Chance and necessity in the genome evolution of endosymbiotic bacteria of insects,"Sabater-Munoz, 2017",4,E. coli,Haploid,5,561,,LB,Table S6 - doesn't say which population has which mutations,Email sent 190603. Replied 190611. Table S6 data received 190621.,B2,389
19,,https://mro.massey.ac.nz/handle/10179/7166,"Effects of aerobic and anaerobic environments on bacterial mutation rates and mutation spectra assessed by whole genome analyses : a thesis presented in partial fulfilment of the requirements for the degree of Doctor of Philosophy in Genetics at Massey University, Palmerston North, New Zealand","Shewaramani, 2015",4,E. coli,,,,,,,,B2,420
5,,https://academic.oup.com/nar/article/43/1/295/2902675,"The genome-scale interplay amongst xenogene silencing, stress response and chromosome architecture in Escherichia coli","Srinivasan, 2014",4,E. coli,haploid,,,,,,,B2,434
23,,https://www.researchgate.net/profile/Divya_Iyer10/publication/304933933_The_effect_of_silver_nanoparticle_size_and_coating_on_Escherichia_coli/links/5a8c48b30f7e9b228590772c/The-effect-of-silver-nanoparticle-size-and-coating-on-Escherichia-coli.pdf,The Effect of Silver Nanoparticle Size and Coating on Escherichia coli,"Tajkarimi, 2014",4,E. coli,,,,,,,,B2,445
19,,https://digital.kenyon.edu/cgi/viewcontent.cgi?article=1019&context=summerscienceprogram,Antibiotic Resistance Mechanisms in Benzoate-Evolved Escherichia coli,"Tancredi, 2016",4,E.coli,,24,2000,,,,,B2,446
20,,https://bmcevolbiol.biomedcentral.com/articles/10.1186/s12862-018-1191-4,Different adaptive strategies in E. coli populations evolving under macronutrient limitation and metal ion limitation,"Warsi, 2018",4,E. coli,haploid,,,,,,,B2,484
20,,https://environmentalmicrobiome.biomedcentral.com/articles/10.1186/s40793-015-0114-x,Genome sequences of two closely related strains of Escherichia coli K-12 GM4792,"Zhang, 2015",4,E. coli,haploid,,,,,,,B2,512
,191104,https://www-pnas-org.uml.idm.oclc.org/content/110/35/14302,Availability of public goods shapes the evolution of competing metabolic strategies,"Bachmann, 2013",5,L. lactis,,,,,,,"
_ 191106: Scanned for duplicate & wrong species.",RL,23
,191104,https://doi-org.uml.idm.oclc.org/10.1126%2Fscience.aag0822,Spatiotemporal microbial evolution on antibiotic landscapes,"Baym, 2016",5,E. coli,,,,,,,"_ 191106: Scanned for duplicate & wrong species.
_ < 3 pops.
_ 191108: Screened.",RL,38
,191104,https://doi-org.uml.idm.oclc.org/10.1098%2Frsbl.2012.0823,Evolutionary rescue of a green alga kept in the dark,"Bell, 2012",5,Chlamydomonas,,,,,,,"_ Incorrect species.
_ 191106: Scanned for duplicate & wrong species.
",RL,44
,191104,https://doi-org.uml.idm.oclc.org/10.1073%2Fpnas.0803151105,Historical contingency and the evolution of a key innovation in an experimental population of Escherichia coli,"Blount, 2008",5,E. coli,,,,,,,"_ 191106: Scanned for duplicate & wrong species.
_ < 3 pops.
_ 191108: Screened.",RL,50
,191104,https://doi-org.uml.idm.oclc.org/10.1111%2Fj.1558-5646.1991.tb04356.x,Selection of benevolence in a host-parasite system,"Bull, 1991",5,E. coli & phage,,,,,,,"_ Not genomic.
_ 191106: Scanned for duplicate & wrong species.
",RL,60
,191104,https://www-genetics-org.uml.idm.oclc.org/content/genetics/151/3/921.full.pdf,Evolution by small steps and rugged landscapes in the RNA virus φ6,"Burch, 1999",5,Phage,,,,,,,"_ Incorrect species.
_ 191106: Scanned for duplicate & wrong species.
",RL,61
,191104,https://doi-org.uml.idm.oclc.org/10.1038%2Fnature09352,Genome-wide analysis of a long-term evolution experiment with Drosophila,"Burke, 2010",5,D. melanogaster,,,,,,,"_ Incorrect species.
_ 191106: Scanned for duplicate & wrong species.
",RL,62
,191104,https://doi-org.uml.idm.oclc.org/10.2307%2F1935611,A complex community in a simple habitat: an experimental study with bacteria and phage,"Chao, 1977",5,E. coli & T7,,,,,,,"_ Not genomic.
_ 191106: Scanned for duplicate & wrong species.
",RL,69
,191104,https://doi-org.uml.idm.oclc.org/10.1371%2Fjournal.pbio.0050225,Recombination speeds adaptation by reducing competition between beneficial mutations in populations of Escherichia coli,"Cooper, 2007",5,E. coli,,,,,,,"_ 191106: Scanned for duplicate & wrong species.
_ No WGS.
_ 191108: Screened.",RL,88
,191104,https://doi-org.uml.idm.oclc.org/10.1534%2Fgenetics.104.035717,Long-term experimental evolution in Escherichia coli. XII. DNA topology as a key target of selection,"Crozat, 2005",5,E. coli,,,,,,,"_ 191106: Scanned for duplicate & wrong species.
_ No WGS.
_ 191108: Screened.",RL,91
,191104,https://doi-org.uml.idm.oclc.org/10.1186%2F1471-2148-2-19,Long-term experimental evolution in Escherichia coli. XI. Rejection of non-transitive interactions as cause of declining rate of adaptation,"de Visser, 2002",5,E. coli,,,,,,,"_ 191106: Scanned for duplicate & wrong species.
_ No WGS.
_ 191108: Screened.",RL,98
,191104,https://doi-org.uml.idm.oclc.org/10.1534%2Fgenetics.105.052373,Clonal interference and the periodic selection of new beneficial mutations in Escherichia coli,"de Visser, 2006",5,E. coli,,,,,,,"_ 191106: Scanned for duplicate & wrong species.
_ No WGS.
_ 191108: Screened.",RL,99
,191104,https://doi-org.uml.idm.oclc.org/10.1086%2F499381,Viral ecology and the maintenance of novel host use,"Dennehy, 2006",5,Phage,,,,,,,"_ Not genomic.
_ 191106: Scanned for duplicate & wrong species.
",RL,110
,191104,https://doi-org.uml.idm.oclc.org/10.1098%2Frsbl.2004.0275,The evolution of a conjugative plasmid and its ability to increase bacterial fitness,"Dionisio, 2005",5,E. coli & plasmid,,,,,,,"_ Not genomic.
_ 191106: Scanned for duplicate & wrong species.
",RL,115
,191104,https://doi-org.uml.idm.oclc.org/10.1371%2Fjournal.ppat.1002731,Experimental evolution of Legionella pneumophila in mouse macrophages leads to strains with altered determinants of environmental survival,"Ensminger, 2012",5,L. pneumophila,,,,,,,"_ Incorrect species.
_ 191106: Scanned for duplicate & wrong species.
",RL,131
,191104,https://doi-org.uml.idm.oclc.org/10.1038%2Fnature04677,Evolution of an obligate social cheater to a superior cooperator,"Fiegna, 2006",5,M. xanthus,,,,,,,"_ Incorrect species.
_ 191106: Scanned for duplicate & wrong species.
",RL,136
,191104,https://doi-org.uml.idm.oclc.org/10.1023%2FA%3A1017067816551,The fate of competing beneficial mutations in an asexual population,"Gerrish, 1998",5,E. coli,,,,,,,"_ 191106: Scanned for duplicate & wrong species.
_ No WGS.
_ 191108: Screened.",RL,155
,191104,https://doi-org.uml.idm.oclc.org/10.1371%2Fjournal.pgen.0020145,Genomic convergence toward diploidy in Saccharomyces cerevisiae,"Gerstein, 2006",5,S. cerevisiae,,,,,,,"_ 191106: Scanned for duplicate & wrong species.
_ No WGS.
_ 191108: Screened.",RL,156
,191104,https://www.researchgate.net/profile/Pedro_Gomez12/publication/50940011_Bacteria-Phage_Antagonistic_Coevolution_in_Soil/links/5cbcba1e299bf12097765c36/Bacteria-Phage-Antagonistic-Coevolution-in-Soil.pdf,Bacteria-phage antagonistic coevolution in soil,"Gómez, 2011",5,P. fluorescens ,,,,,,,"_ Incorrect species.
_ 191106: Scanned for duplicate & wrong species.
",RL,158
,191104,https://doi-org.uml.idm.oclc.org/10.1111%2Fele.12093,Real-time microbial adaptive diversification in soil,"Gómez, 2013",5,P. fluorescens ,,,,,,,"_ Incorrect species.
_ 191106: Scanned for duplicate & wrong species.
",RL,159
,191104,https://doi-org.uml.idm.oclc.org/10.1126%2Fscience.1122469,An equivalence principle for the incorporation of favorable mutations in asexual populations,"Hegreness, 2006",5,E. coli,,,,,,,"_ 191107: Scanned for duplicate & wrong species.
_ No WGS.
_ 191108: Screened.",RL,180
,191104,https://doi-org.uml.idm.oclc.org/10.1073%2Fpnas.0908456107,Rapid evolution of stability and productivity at the origin of a microbial mutualism,"Hillesland, 2010",5,D. vulgaris & M. maripaludis ,,,,,,,"_ Incorrect species.
_ 191107: Scanned for duplicate & wrong species.
",RL,184
,191104,https://doi-org.uml.idm.oclc.org/10.1038%2Fncomms9155,Irreversibly increased nitrogen fixation in Trichodesmium experimentally adapted to elevated carbon dioxide,"Hutchins, 2015",5,Trichodesmium,,,,,,,"_ Incorrect species.
_ 191107: Scanned for duplicate & wrong species.
",RL,198
,191104,https://doi-org.uml.idm.oclc.org/10.1038%2Fng.280,Molecular characterization of clonal interference during adaptive evolution in asexual populations of Saccharomyces cerevisiae,"Kao, 2008",5,S. cerevisiae,,,,,,,"_ 191107: Scanned for duplicate & wrong species.
_ No WGS.
_ 191108: Screened.",RL,216
,191106,https://doi-org.uml.idm.oclc.org/10.1038%2Fnature04864,Local migration promotes competitive restraint in a host–pathogen 'tragedy of the commons',"Kerr, 2006",5,E. coli & T4,,,,,,,"_ Incorrect species.
_ 191107: Scanned for duplicate & wrong species.
",RL,224
,191106,https://doi-org.uml.idm.oclc.org/10.1126%2Fscience.1203801,Negative epistasis between beneficial mutations in an evolving bacterial population,"Khan, 2011",5,E. coli,,,,,,,"_ 191107: Scanned for duplicate & wrong species.
_ < 3 pop.
_ 191108: Screened.",RL,225
,191106,https://science-sciencemag-org.uml.idm.oclc.org/content/sci/334/6062/1548.full.pdf,High relatedness is necessary and sufficient to maintain multicellularity in Dictyostelium,"Kuzdzal-Fick, 2011",5,D. discoideum,,,,,,,"_ Incorrect species.
_ 191107: Scanned for duplicate & wrong species.
",RL,244
,191106,https://doi-org.uml.idm.oclc.org/10.1073%2Fpnas.1207091109,Ecological and evolutionary dynamics of coexisting lineages during a long-term experiment with Escherichia coli,"Le Gac, 2012",5,E. coli,,,,,,,"_ 191107: Scanned for duplicate & wrong species.
_ < 3 pop.
_ 191108: Screened.",RL,255
,191106,"http://lenski.mmg.msu.edu/lenski/pdf/1991,%20AmNat,%20Lenski%20et%20al.pdf","Long-term experimental evolution in Escherichia coli. I. Adaptation and divergence during 2,000 generations","Lenski, 1991",5,E. coli,,,,,,,"_ 191107: Scanned for duplicate & wrong species.
_ No WGS.
_ 191108: Screened.",RL,259
,191106,https://doi-org.uml.idm.oclc.org/10.1073%2Fpnas.91.15.6808,"Dynamics of adaptation and diversification: a 10,000-generation experiment with bacterial populations","Lenski, 1994",5,E. coli,,,,,,,"_ 191107: Scanned for duplicate & wrong species.
_ No WGS.
_ 191108: Screened.",RL,260
,191106,https://doi-org.uml.idm.oclc.org/10.1038%2Fng.997,Parallel bacterial evolution within multiple patients identifies candidate pathogenicity genes,"Lieberman, 2011",5,B. dolosa,,,,,,,"_ Incorrect species.
_ 191107: Scanned for duplicate & wrong species.
",RL,272
,191106,https://doi-org.uml.idm.oclc.org/10.1126%2Fscience.279.5359.2115,Contingency and determinism in replicated adaptive radiations of island lizards,"Losos, 1998",5,Anolis lizards,,,,,,,"_ Incorrect species.
_ 191107: Scanned for duplicate & wrong species.",RL,282
,191106,https://doi-org.uml.idm.oclc.org/10.1534%2Fgenetics.115.176677,"Adaptation, clonal interference, and frequency-dependent interactions in a long-term evolution experiment with Escherichia coli","Maddamsetti, 2015",5,E. coli,,,,,,,"
_ 191107: Scanned for duplicate & wrong species.
_ Not WGS.
_ 191108: Screened.",RL,284
,191106,https://doi-org.uml.idm.oclc.org/10.1038%2Fnature05599,The effects of competition and predation on diversification in a model adaptive radiation,"Meyer, 2007",5,T. thermophila & P. fluorescens,,,,,,,"_ Incorrect species.
_ 191107: Scanned for duplicate & wrong species.",RL,301
,191106,https://doi-org.uml.idm.oclc.org/10.1126%2Fscience.1214449,Repeatability and contingency in the evolution of a key innovation in phage Lambda,"Meyer, 2012",5,E. coli & lambda phage,,,,,,,"_ Not genomic.
_ 191107: Scanned for duplicate & wrong species.
",RL,302
,191106,https://doi-org.uml.idm.oclc.org/10.1098%2Frspb.2000.1030,Pervasive compensatory adaptation in Escherichia coli,"Moore, 2000",5,E. coli,,,,,,,"_ 191107: Scanned for duplicate & wrong species.
_ No WGS.
_ 191108: Screened.",RL,313
,191106,https://doi-org.uml.idm.oclc.org/10.1111%2Fj.1095-8312.2006.00629.x,"Tempo and constraint of adaptive evolution in Escherichia coli (Enterobacteriaceae, Enterobacteriales)","Moore, 2006",5,E. coli,,,,,,,"_ 191107: Scanned for duplicate & wrong species.
_ No WGS.
_ 191108: Screened.",RL,314
,191106,https://doi-org.uml.idm.oclc.org/10.1073%2Fpnas.96.7.3807,Genomic evolution during a 10 000-generation experiment with bacteria,"Papadopoulos, 1999",5,E. coli,,,,,,,"_ 191107: Scanned for duplicate & wrong species.
_ No WGS.
_ 191108: Screened.",RL,338
,191106,https://doi-org.uml.idm.oclc.org/10.1038%2F306368a0,Relative fitness can decrease in evolving asexual populations of S. cerevisiae,"Paquin, 1983",5,S. cerevisiae,,,,,,,"_ 191107: Scanned for duplicate & wrong species.
_ No WGS.
_ 191108: Screened.",RL,339
,191106,https://doi-org.uml.idm.oclc.org/10.1038%2Fnature08798,Antagonistic coevolution accelerates molecular evolution,"Paterson, 2010",5,P. fluorescens & phage Φ2,,,,,,,"_ Incorrect species.
_ 191107: Scanned for duplicate & wrong species.",RL,341
,191106,https://doi-org.uml.idm.oclc.org/10.1534%2Fgenetics.105.049619,Parallel changes in global protein profiles during long-term experimental evolution in Escherichia coli,"Pelosi, 2006",5,E. coli,,,,,,,"_ 191107: Scanned for duplicate & wrong species.
_ No WGS.
_ 191108: Screened.",RL,343
,191106,https://doi-org.uml.idm.oclc.org/10.1038%2Fismej.2010.136,Ecological succession in long-term experimentally evolved biofilms produces synergistic communities,"Poltak, 2011",5,B. cenocepacia,,,,,,,"_ Incorrect species.
_ 191107: Scanned for duplicate & wrong species.",RL,352
,191106,https://doi-org.uml.idm.oclc.org/10.1038%2F27900,Adaptive radiation in a heterogeneous environment,"Rainey, 1998",5,P.  fluorescens,,,,,,,"_ Incorrect species.
_ 191107: Scanned for duplicate & wrong species.",RL,362
,191106,https://doi-org.uml.idm.oclc.org/10.1073%2Fpnas.1115323109,Experimental evolution of multicellularity,"Ratcliff, 2012",5,S. cerevisiae,,,,,,,"_ 191107: Scanned for duplicate & wrong species.
_ No WGS.
_ 191108: Screened.",RL,369
,191106,https://www-genetics-org.uml.idm.oclc.org/content/genetics/137/4/903.full.pdf,Microbial evolution in a simple unstructured environment: genetic differentiation in Escherichia coli,"Rosenzweig, 1994",5,E. coli,,,,,,,"
_ 191107: Scanned for duplicate & wrong species.
_ Not WGS.
_ 191108: Screened.",RL,384
,191106,"http://lenski.mmg.msu.edu/lenski/pdf/2000,%20AmNat,%20Rozen%20&%20Lenski.pdf",Long-term experimental evolution in Escherichia coli. VIII. Dynamics of a balanced polymorphism,"Rozen, 2000",5,E. coli,,,,,,,"
_ 191107: Scanned for duplicate & wrong species.
_ Not WGS.
_ 191108: Screened.",RL,385
,191106,https://doi-org.uml.idm.oclc.org/10.1098%2Frsif.2015.0056,Experimental evolution gone wild,"Scheinin, 2015",5,S. marinoi,,,,,,,"_ Incorrect species.
_ 191107: Scanned for duplicate & wrong species.",RL,404
,191106,https://doi-org.uml.idm.oclc.org/10.1126%2Fsciadv.1501660,Long-term dynamics of adaptive evolution in a globally important phytoplankton species to ocean acidification,"Schlüter, 2016",5,E. huxleyi ,,,,,,,"_ Incorrect species.
_ 191107: Scanned for duplicate & wrong species.",RL,405
,191106,https://www-genetics-org.uml.idm.oclc.org/content/genetics/156/2/477.full.pdf,Long-term experimental evolution in Escherichia coli. IX. Characterization of IS-mediated mutations and rearrangements,"Schneider, 2000",5,E. coli,,,,,,,"
_ 191107: Scanned for duplicate & wrong species.
_ < 3 pops.
_ 191108: Screened.",RL,406
,191106,https://doi-org.uml.idm.oclc.org/10.1098%2Frspb.1997.0178,Adaptation to the fitness costs of antibiotic resistance in Escherichia coli,"Schrag, 1997",5,E. coli,,,,,,,"
_ 191107: Scanned for duplicate & wrong species.
_ < 3 pops.
_ 191108: Screened.",RL,408
,191106,https://doi-org.uml.idm.oclc.org/10.1126%2Fscience.1218198,Population genomics of early events in the ecological differentiation of bacteria,"Shapiro, 2012",5,Vibrio spp.,,,,,,,"_ Incorrect species.
_ 191108: Scanned for duplicate & wrong species.",RL,415
