Page Number of Search (B2),Who analyzed (if paper useful)?,Link,Paper Name,"Author, Year of Publication","Usefulness (1=useful, 2=promising, 3=unpromising)",Species (& strain info),"Ploidy (Haploid, Diploid, Polyploid)",No. pops,No. gens,No. total muts,No. muts,"Envir (Medium, Nutrients, Temp)",Supp Info Provided?,Additional cmts,"Screen (See ""Screen legend"")"
22,,https://www.biorxiv.org/content/10.1101/213850v3.abstract,A novel multi SNP based method for the identification of subspecies and associated lineages and sub-lineages of the Mycobacterium tuberculosis complex by whole genome sequencing,,3 - Species currently not considered for model,Mycobacterium tuberculosis,,,,,,,,,B2
22,,https://repositories.lib.utexas.edu/handle/2152/68558,Laboratory evolution and natural transformation in Acinetobacter baylyi ADP1,,3 - Species currently not considered for model,Acinetobacter baylyi,,,,,,,,,B2
22,,https://www.biorxiv.org/content/10.1101/222364v4.abstract,Bacterial adaptation to diet is a key evolutionary force shaping Drosophila-Lactobacillus symbiosis,,3 - Species currently not considered for model,Lactobacillus,,,,,,,,,B2
23,,https://researchspace.auckland.ac.nz/handle/2292/31662,Watching Bacteria Adapt: Investigating How Pathogens Evolve to Cause Disease,,3 - Species currently not considered for model,Citrobacter rodentium,,,,,,,,,B2
23,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0201767,Molecular mechanisms of thioridazine resistance in Staphylococcus aureus,,3 - Species currently not considered for model,Staphylococcus aureus,,,,,,,,,B2
23,,https://scholarworks.iu.edu/dspace/handle/2022/20325,Evolution of developmental gene regulation in the Myxobacteria,,3 - Species currently not considered for model,Myxobacteria,,,,,,,,,B2
24,,https://www.frontiersin.org/articles/10.3389/fmicb.2017.01256/full,"Evolution of Acinetobacter baumannii In Vivo: International Clone II, More Resistance to Ceftazidime, Mutation in ptk",,3 - Species currently not considered for model,Acinetobacter baumannii,,,,,,,,,B2
24,,https://www.biorxiv.org/node/126991.abstract,The essential role of hypermutation in rapid adaptation to antibiotic stress,,3 - Species currently not considered for model,P. aeruginosa,,,,,,,,,B2
24,,https://scholars.unh.edu/cgi/viewcontent.cgi?article=1851&context=thesis,Bacterial and phage interactions influencing Vibrio parahaemolyticus ecology,,3 - Species currently not considered for model,Vibrio parahaemolyticus,,,,,,,,,B2
24,,https://s3.amazonaws.com/academia.edu.documents/39106438/5513fd820cf23203199cd037.pdf?AWSAccessKeyId=AKIAIWOWYYGZ2Y53UL3A&Expires=1551132563&Signature=R%2BHaNiF0ATsEduwg50lJYqiNjbw%3D&response-content-disposition=inline%3B%20filename%3DdevI_is_an_Evolutionarily_Young_Negative.pdf,devI Is an Evolutionarily Young Negative Regulator of Myxococcus xanthus Development,,3 - Species currently not considered for model,Myxococcus xanthus,,,,,,,,,B2
24,,https://www.biorxiv.org/content/10.1101/070839v1.abstract,SNP analysis implicates the role of cytosine methylation in introducing consequential mutations in Vibrio cholerae genomes,,3 - Species currently not considered for model,Vibrio cholerae,,,,,,,,,B2
25,,https://jb.asm.org/content/early/2019/01/23/JB.00538-18.abstract,Mechanisms of resistance to the contact-dependent bacteriocin CdzC/D in Caulobacter crescentus,,3 - Species currently not considered for model,Caulobacter crescentus,,,,,,,,,B2
25,,https://www.mdpi.com/2073-4425/10/1/63,Genomic and Transcriptomic Changes That Mediate Increased Platinum Resistance in Cupriavidus metallidurans,,3 - Species currently not considered for model,Cupriavidus metallidurans,,,,,,,,,B2
25,,https://www.nature.com/articles/s41467-018-07235-5,Microevolution of Neisseria lactamica during nasopharyngeal colonisation induced by controlled human infection,,3 - Species currently not considered for model,Neisseria lactamica,,,,,,,,,B2
25,,https://www.nature.com/articles/s41564-018-0213-8,Increased biofilm formation due to high-temperature adaptation in marine Roseobacter,,3 - Species currently not considered for model,Roseobacter,,,,,,,,,B2
3,,https://genome.cshlp.org/content/early/2017/03/22/gr.213256.116.abstract,"Identical bacterial populations colonize premature infant gut, skin, and oral microbiomes and exhibit different in situ growth rates",,3 - Species currently not considered for model,Citrobacter koseri,,,,,,,,,B2
3,,https://peerj.com/articles/2435/,MxaY regulates the lanthanide-mediated methanol dehydrogenase switch in Methylomicrobium buryatense,,3 - Species currently not considered for model,Methylomicrobium buryatense,,,,,,,,,B2
4,,https://mbio.asm.org/content/6/2/e02565-14.short,Virus-Induced Dormancy in the Archaeon Sulfolobus islandicus,,3 - Species currently not considered for model,Sulfolobus islandicus,,,,,,,,,B2
4,,https://cdn.elifesciences.org/articles/04279/elife-04279-v2.pdf,Effective use of a horizontally-transferred pathway for dicholormethane catabolism requires post-transfer refinement,,3 - Species currently not considered for model,Methylobacterium,,,,,,,,,B2
4,,https://jb.asm.org/content/197/5/872.short,Genome Instability Mediates the Loss of Key Traits by Acinetobacter baylyi ADP1 during Laboratory Evolution,,3 - Species currently not considered for model,Acinetobacter baylyi,,,,,,,,,B2
5,,https://biotechnologyforbiofuels.biomedcentral.com/articles/10.1186/s13068-016-0497-y,Comprehensive molecular characterization of Methylobacterium extorquens AM1 adapted for 1-butanol tolerance,,3 - Species currently not considered for model,Methylobacterium extorquens,,,,,,,,,B2
5,,https://www.frontiersin.org/articles/10.3389/fmicb.2016.01715/full,The Effect of Colistin Resistance-Associated Mutations on the Fitness of Acinetobacter baumannii,,3 - Species currently not considered for model,Acinetobacter baumannii,,,,,,,,,B2
5,,https://academic.oup.com/mbe/article/32/10/2585/1208182,Rampant Parasexuality Evolves in a Hospital Pathogen during Antibiotic Selection,,3 - Species currently not considered for model,Enterococcus faecalis,,,,,,,,,B2
5,,https://www.sciencedirect.com/science/article/pii/S0960852417302572,Performance of different Sporomusa species for the microbial electrosynthesis of acetate from carbon dioxide,,3 - Species currently not considered for model,Sporomusa species,,,,,,,,,B2
6,,https://www.nature.com/articles/ncomms9773?origin=ppub,Microscale insights into pneumococcal antibiotic mutant selection windows,,3 - Species currently not considered for model,Streptococcus pneumoniae,,,,,,,,,B2
6,,https://www.frontiersin.org/articles/10.3389/fgene.2015.00018/full,There and back again: consequences of biofilm specialization under selection for dispersal,,3 - Species currently not considered for model,Burkholderia cenocepacia,,,,,,,,,B2
6,,https://jb.asm.org/content/197/7/1249.short,devI Is an Evolutionarily Young Negative Regulator of Myxococcus xanthus Development,,3 - Species currently not considered for model,Mxyococcus xanthus,,,,,,,,,B2
7,,https://www.nature.com/articles/s41559-017-0243-2,Compensatory mutations improve general permissiveness to antibiotic resistance plasmids,,3 - Species currently not considered for model,Pseudomonas sp.,,,,,,,,,B2
7,,https://mbio.asm.org/content/8/1/e02124-16.short,RelA Mutant Enterococcus faecium with Multiantibiotic Tolerance Arising in an Immunocompromised Host,,3 - Species currently not considered for model,Enterococcus faecium,,,,,,,,,B2
7,,https://www.sciencedirect.com/science/article/pii/S1931312818302774,Bacterial Adaptation to the Host's Diet Is a Key Evolutionary Force Shaping Drosophila-Lactobacillus Symbiosis,,3 - Species currently not considered for model,Lactobacillus,,,,,,,,,B2
7,,https://www.frontiersin.org/articles/10.3389/fmicb.2016.00913/full,"Isolation and Genomic Characterization of ‘Desulfuromonas soudanensis WTL’, a Metal- and Electrode-Respiring Bacterium from Anoxic Deep Subsurface Brine",,3 - Species currently not considered for model,Desulfuromonas soudanensis,,,,,,,,,B2
8,,https://mbio.asm.org/content/mbio/8/1/e02124-16.full.pdf,RelA Mutant Enterococcus faecium with Multiantibiotic Tolerance Arising in an Immunocompromised Host,,3 - Species currently not considered for model,Enterococcus faecium,,,,,,,,,B2
8,,https://www.sciencedirect.com/science/article/pii/S0168160516305542,Isolation and characterization of Lactobacillus helveticus DSM 20075 variants with improved autolytic capacity,,3 - Species currently not considered for model,Lactobacillus helveticus,,,,,,,,,B2
8,,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1006978&rev=2,Crosstalk between the tricarboxylic acid cycle and peptidoglycan synthesis in Caulobacter crescentus through the homeostatic control of α-ketoglutarate,,3 - Species currently not considered for model,Caulobacter crescentus,,,,,,,,,B2
8,,https://aem.asm.org/content/84/17/e01201-18.abstract,Widely Used Benzalkonium Chloride Disinfectants Can Promote Antibiotic Resistance,,3 - Species currently not considered for model,P. aeruginosa,,,,,,,,,B2
11,,https://academic.oup.com/gbe/article/8/4/1243/2574097,Comparative Genomics of Carriage and Disease Isolates of Streptococcus pneumoniae Serotype 22F Reveals Lineage-Specific Divergence and Niche Adaptation,,3 - Species currently not considered for model,Streptococcus pneumoniae,,,,,,,,,B2
9,,https://pubs.acs.org/doi/abs/10.1021/acssynbio.6b00192,Rapid and Inexpensive Evaluation of Nonstandard Amino Acid Incorporation in E. coli,,3 - Species currently not considered for model,E. coli,,,,,,,,,B2
23,,https://www.researchgate.net/profile/Divya_Iyer10/publication/304933933_The_effect_of_silver_nanoparticle_size_and_coating_on_Escherichia_coli/links/5a8c48b30f7e9b228590772c/The-effect-of-silver-nanoparticle-size-and-coating-on-Escherichia-coli.pdf,The Effect of Silver Nanoparticle Size and Coating on E. coli,,3 - Species currently not considered for model,-,,,,,,,,,B2
2,,https://www.pnas.org/content/112/29/9076,Rapid and widespraed de novo evolution of kin discrimination,,3 - Species currently not considered for model,,,,,,,,,,B2
6,,https://mra.asm.org/content/3/4/e00879-15.short,Complete Genome Sequence of E. coli NCM3722,,3 - Species currently not considered for model,E. coli,haploid,,,,,,,,B2
3,,https://academic.oup.com/mbe/article/32/10/2681/1210991,Fitness Trade-Offs Determine the Role of the Molecular Chaperonin GroEL in Buffering Mutations,"Munoz, 2015",3 - Species currently not considered for model,E. coli,haploid,2 bottlenecked populations = strong genetic drift and 2 transfer populations = mild genetic drift. 1 control population (pΔgroE).,Bottlenecked - 30 replicate lines evolved in L-arabinose and 4 replicate lines in its absence. Control - evolved 8 replicate lines: 4 in the presence of L-arabinose and 4 in its absence. 5 populations also in same manner as serial passage in presence of inducer. Serial passage - 5/10 populations in presence of inducer and 5/10 in its absence.,,,,"Data for individual populations provided as seperate spread sheets with descriptive mutations, attached Munoz 1-4 below.",,B2
7,,https://cdn.elifesciences.org/articles/24669/elife-24669-v1.pdf,Environment determines evolutionary trajectory in a constrained phenotypic space,,3 - Species currently not considered for model,E. coli,haploid,,,,,,,,B2
7,,https://www.nature.com/articles/srep45089,Isolation and characterization of the E. coli membrane protein production strain Mutant56(DE3),,3 - Species currently not considered for model,E. coli,haploid,,,,,,,,B2
16,,https://www.sciencedirect.com/science/article/pii/S1097276518308475,Inhibiting the Evolution of Antibiotic Resistance,,3 - Species currently not considered for model,-,,,,,,,,,B2
4,,http://science.sciencemag.org/content/354/6317/1301.abstract,Ecological speciation of bacteriophage lambda in allopatry and sympatry,,3 - Species currently not considered for model,,,,,,,,,,B2
20,,https://academic.oup.com/ve/article/4/1/vey017/5040330,Viral attenuation by engineered protein fragmentation,,3 - Species currently not considered for model,E. coli,,,,,,,,,B2
5,,https://www.pnas.org/content/114/10/E1904.short,Specificity of genome evolution in experimental populations of E. coli evolved at different temperatures,,3 - Species currently not considered for model,E.coli,,,,,,,,,B2
13,,https://www.frontiersin.org/articles/10.3389/fmicb.2017.00585/full,Unveiling the Hybrid Genome Structure of E. coli RR1 (HB101 RecA+),,3 - Species currently not considered for model,E. coli,haploid,,,,,,,,B2
6,,https://microbialcellfactories.biomedcentral.com/articles/10.1186/s12934-017-0819-1,Generation of a platform strain for ionic liquid tolerance using adaptive laboratory evolution,,3 - Species currently not considered for model,E. coli,haploid,,,,,,,,B2
4,,https://www.nature.com/articles/s41564-017-0051-0,DISARM is a widespread bacterial defence system with broad anti-phage activities,,3 - Species currently not considered for model,,,,,,,,,,B2
4,,https://onlinelibrary.wiley.com/doi/abs/10.1002/bit.25844,Engineering of high yield production of L‐serine in E. coli,,3 - Species currently not considered for model,E. coli,haploid,,,,,,,,B2
15,,https://www.nature.com/articles/s41598-018-21549-w,Evolving Bacterial Fitness with an Expanded Genetic Code,,3 - Species currently not considered for model,E. coli,,,,,,,,,B2
21,,https://ora.ox.ac.uk/objects/uuid:dafa3485-09e0-4b72-97fd-79bb47714099,Testing the role of multicopy plasmids in the evolution of antibiotic resistance,,3 - Species currently not considered for model,E. coli,,,,,,,,,B2
18,,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1007958,Modular epistasis and the compensatory evolution of gene deletion mutants,,3 - Species currently not considered for model,-,,,,,,,,,B2
13,,https://cdn.elifesciences.org/articles/24414/elife-24414-v2.pdf,Host-selected mutations converging on a global regulator drive an adaptive leap towards symbiosis in bacteria,,3 - Species currently not considered for model,Vibrio fischeri,,,,,,,,,B2
13,,https://onlinelibrary.wiley.com/doi/full/10.1111/mmi.13563,PrgU: a suppressor of sex pheromone toxicity in Enterococcus faecalis,,3 - Species currently not considered for model,Enterococcus faecalis,,,,,,,,,B2
13,,https://www.sciencedirect.com/science/article/pii/S0360319917326915,Comparative genomic analysis of two heat-resistant Rhodobacter capsulatus mutants with different hydrogen production levels reveals mutations related to hydrogen production,,3 - Species currently not considered for model,Rhodobacter capsulatus,,,,,,,,,B2
13,,https://bmcmicrobiol.biomedcentral.com/articles/10.1186/s12866-018-1308-3,In vivo competition and horizontal gene transfer among distinct Staphylococcus aureus lineages as major drivers for adaptational changes during long-term persistence in humans,,3 - Species currently not considered for model,Staphylococcus aureus,,,,,,,,,B2
13,,https://www.nature.com/articles/ja2017108,Using experimental evolution to identify druggable targets that could inhibit the evolution of antimicrobial resistance,,3 - Species currently not considered for model,P. aeruginosa,,,,,,,,,B2
14,,https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1007030,A global regulatory system links virulence and antibiotic resistance to envelope homeostasis in Acinetobacter baumannii,,3 - Species currently not considered for model,Acinetobacter baumannii,,,,,,,,,B2
14,,https://link.springer.com/article/10.1007/s40475-017-0111-9,"Genomic Insights Into the Melioidosis Pathogen, Burkholderia pseudomallei",,3 - Species currently not considered for model,Burkholderia pseydomallei,,,,,,,,,B2
14,,https://journals.lww.com/pidj/FullText/2016/11000/Streptococcus_Gallolyticus_Subsp__Pasteurianus.28.aspx,Streptococcus Gallolyticus Subsp. Pasteurianus Infection In A Neonatal Intensive Care Unit,,3 - Species currently not considered for model,Stptocreoccus Gallolyticus,,,,,,,,,B2
15,,https://aem.asm.org/content/84/12/e00197-18.short,Genomic and Transcriptomic Insights into How Bacteria Withstand High Concentrations of Benzalkonium Chloride Biocides,,3 - Species currently not considered for model,P. aeruginosa,,,,,,,,,B2
15,,https://www.nature.com/articles/s41467-018-07164-3,Adaptation to sub-optimal hosts is a driver of viral diversification in the ocean,,3 - Species currently not considered for model,Synechococcus,,,,,,,,,B2
15,,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-018-4498-z,Large-scale genomic analysis shows association between homoplastic genetic variation in Mycobacterium tuberculosis genes and meningeal or pulmonary tuberculosis,,3 - Species currently not considered for model,Mycobacterium tuberculosis,,,,,,,,,B2
16,,https://academic.oup.com/jac/article-abstract/73/11/2952/5074234,Phylogenomics of colistin-susceptible and resistant XDR Acinetobacter baumannii,,3 - Species currently not considered for model,Acinetobacter baumannii,,,,,,,,,B2
16,,https://bmcevolbiol.biomedcentral.com/articles/10.1186/s12862-017-0906-2,Metabolite toxicity determines the pace of molecular evolution within microbial populations,,3 - Species currently not considered for model,Pseudomonas stutzeri,,,,,,,,,B2
17,,https://www.frontiersin.org/articles/10.3389/fcimb.2018.00089/full,Population Genomics of Francisella tularensis subsp. holarctica and its Implication on the Eco-Epidemiology of Tularemia in Switzerland,,3 - Species currently not considered for model,Francisella tularensis,,,,,,,,,B2
17,,https://academic.oup.com/mbe/article/34/9/2367/3864503,Metabolism and the Evolution of Social Behavior,,3 - Species currently not considered for model,P. aeruginosa,,,,,,,,,B2
17,,https://www.nature.com/articles/s41564-018-0309-1,Genome-wide discovery of epistatic loci affecting antibiotic resistance in Neisseria gonorrhoeae using evolutionary couplings,,3 - Species currently not considered for model,Neisseria gonorrhoeae,,,,,,,,,B2
17,,https://www.nature.com/articles/s41598-018-33593-7,Genomics of experimental adaptation of Staphylococcus aureus to a natural combination of insect antimicrobial peptides,,3 - Species currently not considered for model,Staphylococcus aureus,,,,,,,,,B2
17,,https://onlinelibrary.wiley.com/doi/full/10.1002/evl3.75,Parallel genetic adaptation across environments differing in mode of growth or resource availability,,3 - Species currently not considered for model,Burkholderia cenocepacia,,,,,,,,,B2
17,,https://www.biorxiv.org/content/10.1101/325993v4.abstract,Genome-wide discovery of epistatic loci affecting antibiotic resistance using evolutionary couplings,,3 - Species currently not considered for model,Neisseria gonorrhoeae,,,,,,,,,B2
18,,https://core.ac.uk/download/pdf/154333112.pdf,Engineering of secondary metabolite production in streptomycetes,,3 - Species currently not considered for model,Streptomycetes,,,,,,,,,B2
18,,https://conservancy.umn.edu/handle/11299/201140,Effects of deletion mutations in aguA on fitness and survival of P. aeruginosa cystic fibrosis isolates,,3 - Species currently not considered for model,P. aeruginosa,,,,,,,,,B2
12,,https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1005677&rev=1,Bow-tie signaling in c-di-GMP: Machine learning in a simple biochemical network,,3- No whole genome sequencing,P. aeruginosa,,,,,,,,,B2
12,,https://academic.oup.com/jac/article/72/10/2792/4057514,In vitro activity of plazomicin against β-lactamase-producing carbapenem-resistant Enterobacteriaceae (CRE),,3- No genome sequencing done,Enerobtacteriaceae,,,,,,,,,B2
12,,https://www.biorxiv.org/node/22859.abstract,Population diversity jeopardizes the efficacy of antibiotic cycling,,3- No genome sequencing,S. aureus,,,,,,,,,B2
12,,https://www.tandfonline.com/doi/abs/10.1080/23802359.2017.1325343,"The complete mitochondrial genome of the Egyptian honey bee, Apis mellifera lamarckii (Insecta: Hymenoptera: Apidae)",,3- No evoluiton just genome sequencing,Apis mellifera lamarckii,,,,,,,,,B2
11,,https://journals.lww.com/pidj/fulltext/2016/11000/Streptococcus_Gallolyticus_Subsp__Pasteurianus.28.aspx,Streptococcus Gallolyticus Subsp. Pasteurianus Infection In A Neonatal Intensive Care Unit,,"3- Mutations provided for each population but listed as 4 seperate tables rather than 1 combined table, and no frequncies",Streptococcus Gallolyticus,,,,,,,,,B2
11,,https://academic.oup.com/jac/article/73/1/41/4582307,Long-lasting successful dissemination of resistance to oxazolidinones in MDR Staphylococcus epidermidis clinical isolates in a tertiary care hospital in France,,"3- mutation information not given, however whole-genome sequencing was done",Staphylococcus epidermidis,,,,,,,,,B2
11,,https://academic.oup.com/gbe/article/8/9/2827/2236259,"Evolved Populations of Shigella flexneri Phage Sf6 Acquire Large Deletions, Altered Genomic Architecture, and Faster Life Cycles",,3- looks at one particular mutation,Shigella flexneri,,,,,,,,,B2
10,,https://aem.asm.org/content/83/17/e01025-17.abstract,Reduced Mutation Rate and Increased Transformability of Transposon-Free Acinetobacter baylyi ADP1-ISx,,"3- looks at Mfd evolvability factor, not evolution of bacterium and sequencing",Acinetobacter baylyi,,,,,,,,,B2
10,,https://mbio.asm.org/content/8/3/e00398-17.short,Signal Integration in Quorum Sensing Enables Cross-Species Induction of Virulence in Pectobacterium wasabiae,,3- Looks at how lambda phage can utilize E. coli mutations in a specific region to infect the host,Pectobacterium wasabiae,,,,,,,,,B2
10,,https://www.tandfonline.com/doi/abs/10.1080/23802359.2017.1318683,"The complete mitochondrial genome and phylogenetic placement of Apis nigrocincta Smith (Insecta: Hymenoptera: Apidae), an Asian, cavity-nesting honey bee",,3- Looking at viral DNA in E. coli host.,Apis nigrocincta,,,,,,,,,B2
9,,https://jb.asm.org/content/198/23/3209.abstract,Emergence of a Competence-Reducing Filamentous Phage from the Genome of Acinetobacter baylyi ADP1,,"3- looking at ""signature genes""",Acinetobacter baylyi,,,,,,,,,B2
9,,https://mbio.asm.org/content/8/1/e01969-16.short,The Source and Evolutionary History of a Microbial Contaminant Identified Through Soil Metagenomic Analysis,,3- Just the genome of an E. coli strain,Delftia acidovorans,,,,,,,,,B2
9,,https://www.frontiersin.org/articles/10.3389/fcimb.2017.00045/full,Colistin Resistance in Acinetobacter baumannii MDR-ZJ06 Revealed by a Multiomics Approach,,3- don't see a link to supplementary data and believe only information given for key mutations,Acinetobacter baumannii,,,,,,,,,B2
9,,https://www.pnas.org/content/114/4/E580.short,"Redox crisis underlies conditional light–dark lethality in cyanobacterial mutants that lack the circadian regulator, RpaA",,3- Doesn't look at a specific species but multiple for DISARM,cyanobacteria,,,,,,,,,B2
9,,https://aac.asm.org/content/61/8/e00389-17.abstract,"Unusual E. coli PBP 3 Insertion Sequence Identified from a Collection of Carbapenem-Resistant Enterobacteriaceae Tested In Vitro with a Combination of Ceftazidime-, Ceftaroline-, or Aztreonam-Avibactam",,"3- doesn't include genome sequencing SI, unsure if they did whole genome sequencing or targeted?",Enterobacteriaceae,,,,,,,,,B2
9,,https://mbio.asm.org/content/mbio/6/2/e02565-14.full.pdf,Virus-Induced Dormancy in the Archaeon Sulfolobus islandicus,,3- Did whole genome sequencing but information is not provided,Sulfolo- bus islandicus,,,,,,,,,B2
9,,https://www.tandfonline.com/doi/abs/10.1080/21597081.2016.1268664,Testing a proposed paradigm shift in analysis of phage DNA packaging,,3- Deep sequencing of a specific gene of interest,Phage plasmids,,,,,,,,,B2
8,,http://msb.embopress.org/content/13/3/919.abstract,Mechanism for microbial population collapse in a fluctuating resource environment,,"3- Couldn't find what organism they used, uncorrected proof",Desulfovibrio vulgaris and Methanococcus maripaludis,,,,,,,,,B2
10,,https://peerj.com/articles/2130/,The in vitro and in vivo effects of constitutive light expression on a bioluminescent strain of the mouse enteropathogen Citrobacter rodentium,,3- Compares 2 related genomes,Citrobacter rodentium,,,,,,,,,B2
23,,https://www.sciencedirect.com/science/article/pii/S2213716518301656,Use of whole-genome sequencing to predict Mycobacterium tuberculosis drug resistance in Indonesia,,3- 1 population,Mycobacterium tuberculosis,,,,,,,,,B2
14,,https://environmentalmicrobiome.biomedcentral.com/articles/10.1186/s40793-017-0250-6,Neisseria lactamica Y92–1009 complete genome sequence,,3-,Neisseria lactamica,,,,,,,,,B2
20,,https://pdfs.semanticscholar.org/6373/48a69a03e36db4d97c0d9087f9f20144eb7f.pdf,Analysis of phenotypic innovation (part 1),,3 - Provides full genome of specific E. coli serotype but no evolutionary processes.,E. coli and TEV,,,,,,,,,B2
8,,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-017-3572-2,The genetic architecture of low-temperature adaptation in the wine yeast S. cerevisiae,,3 - Predictions not real experiments,S. cerevisiae,,,,,,,,,B2
5,,https://academic.oup.com/dnaresearch/article/21/6/711/2754555,Genomic Analysis Reveals Distinct Concentration-Dependent Evolutionary Trajectories for Antibiotic Resistance in E. coli,,"3 - Only looks at CRISPR/Cas9 off target effects, no full genome sequencing.",E. coli,haploid,,,,,,,,B2
10,,https://www.biorxiv.org/node/5557.abstract,Evolution and coexistence in response to a key innovation in a long-term evolution experiment with E. coli,,3 - Only did whole genome sequencing on 1 LTEE population that gained a function of interest based on a mutation in 1 particular gene,E. coli,haploid,,,,,,,,B2
10,,https://onlinelibrary.wiley.com/doi/abs/10.1002/bit.26568,Application of adaptive laboratory evolution to overcome a flux limitation in an E. coli production strain,,3 - Species currently not considered for model,E. coli,haploid,,,,,,,,B2
8,,https://onlinelibrary.wiley.com/doi/abs/10.1111/evo.12868,Diverse phenotypic and genetic responses to short‐term selection in evolving E. coli populations,,3 - Species currently not considered for model,E. coli,haploid,,,,,,,,B2
18,,https://www.research-collection.ethz.ch/bitstream/handle/20.500.11850/199414/Abstract_24551.pdf?sequence=6,Tools for genome-level recoding of in vivo and in vitro production systems,,3 - Species currently not considered for model,-,,,,,,,,,B2
11,,https://dl.acm.org/citation.cfm?id=2660810,Genome dynamics in coevolved genomes: database management system for tracing mutations,,3 - Species currently not considered for model,-,,,,,,,,,B2
3,,https://www.nature.com/articles/s41559-016-0010,Multicopy plasmids potentiate the evolution of antibiotic resistance in bacteria,"Millan, 2016. Analyzed, check Millan 2016 for details",3 - Species currently not considered for model,E. coli,haploid,7,,,,LB broth medium at 37 degree celcius,"frequencies of mutations in populations, xsl attached as ""Millan"" below",,B2
21,,https://aem.asm.org/content/aem/early/2017/04/03/AEM.00442-17.full.pdf,Acid evolution deletes amino-acid decarboxylases and reregulates catabolism of E. coli K-12,,3 - Species currently not considered for model,E. coli,,,,,,,,,B2
16,,https://onlinelibrary.wiley.com/doi/abs/10.1111/jeb.13132,The role of recombination in evolutionary adaptation of E. coli to a novel nutrient,"Chu, 2017","3 - No whole genome sequencing, no mutation frequency",E. coli,haploid,6,130,,,,,,B2
19,,https://www.nature.com/articles/s41467-018-04651-5?_ga=2.91952154.1695293922.1528489497-266046807.1528489497,CRISPR-FRT targets shared sites in a knock-out collection for off-the-shelf genome editing,,"3 - No whole genome sequencing, just resequencing",-,,,,,,,,,B2
19,,https://www.biorxiv.org/content/10.1101/320747v1.abstract,ALEdb 1.0: A Database of Mutations from Adaptive Laboratory Evolution,,"3 - No mention of evolution, just effects on CO2/Glucose production",-,,,,,,,,,B2
18,,https://lib.dr.iastate.edu/cgi/viewcontent.cgi?article=7773&context=etd#page=26,Mutation analysis for metabolic evolution experiments in E. coli,,3 - no data provided,E. coli,,,,,,,,,B2
15,,https://academic.oup.com/nar/article/47/D1/D1164/5144149,ALEdb 1.0: a database of mutations from adaptive laboratory evolution experimentation,,3 - Looks at recoding/repurposing codons in the genome,-,,,,,,,,,B2
12,,https://www.researchgate.net/profile/Pil_Kim3/publication/308366328_Procedure_for_Adaptive_Laboratory_Evolution_of_Microorganisms_Using_a_Chemostat/links/57e22e1608aed96fbbb087c6.pdf,Procedure for Adaptive Laboratory Evolution of Microorganisms Using a Chemostat,,3 - Looks at 21 patients and does full genome sequencing on pathogen but does not evolve pathogen.,-,,,,,,,,,B2
11,,https://www.nature.com/articles/s41598-017-12395-3#MOESM1,Efficient engineering of chromosomal ribosome binding site libraries in mismatch repair proficient E. coli,"Oestrele, 2017","3 - doesnt show the frequencies for every gene, only for mutations to release factors prfB and prfC",E. coli,haploid,,,,,,,,B2
13,,https://www.biorxiv.org/node/27184.abstract,Rampant Reverse Evolution towards Specialization in Commensal Bacteria Colonizing the Gut,"Sousa, 2016",3 - no mention of frequencies of the genes and no WGS,E. coli,haploid,,,,,,,,B2
20,,https://www.nature.com/articles/s41598-019-38925-9,"Continuous culture of E. coli, under selective pressure by a novel antimicrobial complex, does not result in development of resistance","Tonoyan, 2019",3 - no mention of gene frequencies,E. coli,haploid,,20 days ~ 120,,,,,,B2
7,,https://academic.oup.com/mbe/article/33/3/770/2579556,Adaptation to Parasites and Costs of Parasite Resistance in Mutator and Nonmutator Bacteria,"Weilgoss, 2015",3 - max two populations,E. coli,haploid,11 phage treatment strains and multiple lineages within,,,,,,,B2
1,,https://aem.asm.org/content/81/1/17/figures-only,Use of adaptive laboratory evolution to discover key mutations enabling rapid growth in E. coli K-12 MG1655 on glucose minimal medium,"LaCroix, 2014",3 - only have one population-no replication,E. coli,haploid,8 + wildtype,Total number of doublings listed in table 1 for each population,72,7-21 mutations per experiment,"glucose minimal media at 37°C, in constant substrate excess","Transcriptomic analysis, mutations, growth rate, xsl ""LaCroix""attached below table.",,B2
24,,https://link.springer.com/article/10.1007/s00253-018-09588-9,Evolutionary engineering of E. coli for improved anaerobic growth in minimal medium accelerated lactate production,"Wang, 2019",3 -FRENCH,E. coli,,,,,,,,,B2
2,,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1004872,Mutations in Global Regulators Lead to Metabolic Selection during Adaptation to Complex Environments,Saxer 2014,3 - no mention of frequencies and only infromation of where the mutation happened for 9 of 10 populations.,E. coli,haploid,"2 treatment E. coli and 1 control, grown to 12 populations each","LB-500, BHI-765, Control LB-5888",,,BBL BHI and LB Miller,,,B2
